symbol,marketCap,forwardPE,priceToBook,forwardEps,debtToEquity,returnOnEquity,returnOnAssets,revenueGrowth,quickRatio,dividendYield
MMM,53617004544,10.166318,3.5048685,9.56,110.351,0.36034,0.06742,-0.09,0.815,0.0617
AXP,127621922816,13.780899,4.908384,12.46,165.716,0.29896,0.0335,0.124,1.564,0.014099999
AMGN,120079302656,11.890476,22.452793,18.9,1151.739,2.52778,0.081520006,-0.021,2.624,0.039
AAPL,2966590324736,28.664135,47.713127,6.58,176.349,1.4560499,0.20559,-0.025,0.764,0.005
BA,128326008832,40.55323,,5.26,,,0.00044,0.281,0.294,
CAT,128472039424,13.596175,,,,,,,,
CVX,290232107008,10.956245,1.8443279,14.17,14.464,0.2337,0.10665,-0.056,1.028,0.0392
CSCO,209458085888,12.722773,4.9523077,4.04,22.445,0.2774,0.09556,0.135,1.107,0.0306
KO,256490831872,21.106762,10.171497,2.81,163.268,0.36832002,0.07987,0.047,0.809,0.0308
DIS,161972731904,16.97495,1.6447921,5.19,43.959,0.04296,0.022839999,0.133,0.826,
DOW,37678669824,11.73348,1.8670266,4.54,80.014,0.15022,0.04775,-0.224,0.925,0.052699998
GS,105209815040,8.609086,1.0376881,36.76,526.356,0.09012,0.00675,0.002,1.54,0.0317
HD,311949295616,19.526747,864.2897,15.89,13654.144,,0.19337,-0.042,0.215,0.0276
HON,138287742976,20.547974,8.173592,10.11,114.776,0.28655002,0.07328,0.058,0.854,0.020299999
IBM,120679170048,13.316633,5.585911,9.98,284.588,0.100719996,0.03758,0.004,0.982,0.050300002
INTC,136558551040,18.816093,1.392599,1.74,50.071,-0.02814,-0.0076,-0.362,1.152,0.0153
JNJ,414523392000,14.500909,5.8482127,11.0,74.655,0.17481,0.08756,0.056,0.678,0.0298
JPM,424170356736,10.360456,1.5386491,14.01,,0.14267,0.01091,0.233,,0.0277
MCD,215005380608,24.277822,,12.13,,,0.12917,0.041,1.251,0.0208
MRK,279016898560,12.93647,5.957631,8.5,65.552,0.29693002,0.10899,-0.089,0.95,0.026800001
MSFT,2467318464512,30.30411,12.675911,10.95,40.739,0.38601002,0.14829001,0.071,1.655,0.0081
NKE,162582790144,24.040909,11.606319,4.4,86.718,0.34625,0.094969995,0.048,1.6,0.012999999
PG,350858543104,23.332289,7.916822,6.38,80.56,0.31599,0.096370004,0.035,0.344,0.0253
CRM,207276933120,23.671858,3.621435,8.99,24.235,0.0065200003,0.01984,0.113,0.86,
TRV,39051280384,9.91613,1.6942241,17.05,31.633,0.115229994,0.01821,0.102,0.171,0.0233
UNH,431114354688,16.567083,5.307467,27.95,77.893,0.25275,0.07321,0.147,0.718,0.0148
VZ,147728203776,7.492537,1.590477,4.69,197.626,0.24588,0.05203,-0.019,0.54,0.0727
V,498802327552,24.35174,13.315443,9.78,53.432,0.42349997,0.15381,0.111,1.082,0.0076
WBA,25716545536,7.5037785,1.2209517,3.97,126.769,-0.12595001,0.0066799996,0.086,0.26,0.066
WMT,417067073536,22.51163,5.7627625,6.88,83.128,0.1341,0.06476,0.076,0.191,0.0149
